school,sex,age,address,Medu,Fedu,studytime,failures,activities,nursery,higher,freetime,goout,health,absences,G1,G2,G3
GP,F,17.0,U,3,2,2,0,no,yes,yes,3,2,2,0,7,8,0
GP,F,18.0,U,3,3,4,0,no,yes,yes,3,3,1,7,16,15,17
GP,F,17.0,R,3,2,2,0,no,yes,yes,3,3,2,4,9,10,10
GP,F,19.0,U,2,1,3,1,yes,yes,yes,3,4,3,4,11,12,11
GP,M,18.0,U,4,4,2,1,yes,yes,yes,3,3,2,0,10,10,0
GP,M,18.0,U,3,4,2,0,yes,yes,yes,3,3,5,11,16,15,15
GP,F,17.0,U,2,2,2,1,no,yes,yes,3,1,4,0,9,8,0
GP,F,18.0,U,2,3,3,0,no,yes,yes,3,3,3,4,11,10,10
GP,F,18.0,U,3,2,3,0,no,yes,yes,4,3,1,7,13,13,14
GP,M,18.0,R,4,3,3,0,no,yes,yes,3,2,4,9,16,15,16
GP,M,18.0,U,4,3,3,0,no,yes,yes,4,5,5,0,10,10,9
GP,F,17.0,U,4,3,3,0,yes,yes,yes,4,3,4,0,13,15,15
MS,M,18.0,R,3,2,1,1,no,no,yes,5,5,5,10,11,13,13
MS,M,19.0,R,1,1,2,3,no,yes,yes,4,4,2,8,8,7,8
MS,M,17.0,U,3,3,2,0,no,yes,yes,5,4,3,2,13,13,13
MS,M,18.0,U,1,3,1,1,no,yes,no,3,3,3,7,8,7,8
MS,M,,R,1,1,1,1,no,yes,yes,4,4,5,4,8,8,8
MS,M,17.0,R,4,3,2,0,yes,no,yes,5,5,2,4,13,11,11
MS,F,18.0,U,3,3,2,0,no,yes,yes,3,4,5,0,10,9,9
MS,F,17.0,R,4,4,2,0,yes,yes,yes,3,3,5,4,12,13,13
MS,F,17.0,U,3,2,2,0,no,yes,yes,2,3,5,2,12,12,11
MS,M,,U,1,1,1,0,no,no,yes,3,2,3,4,10,10,10
MS,F,18.0,U,1,1,3,0,no,yes,yes,3,2,4,0,18,16,16
MS,F,,R,1,4,2,0,no,yes,yes,3,4,5,0,13,13,13
MS,M,18.0,R,1,1,2,1,yes,no,no,4,3,5,2,13,12,12
MS,F,18.0,U,3,3,2,0,no,yes,yes,3,2,3,0,11,11,10
MS,F,17.0,U,4,4,2,0,yes,yes,yes,3,4,1,0,16,15,15
MS,F,17.0,R,1,2,2,0,no,no,yes,2,2,3,0,12,11,12
MS,M,18.0,R,1,3,2,0,no,yes,yes,3,4,3,4,10,10,10
MS,M,18.0,U,4,4,3,0,no,yes,yes,2,2,5,0,13,13,13
MS,F,17.0,R,1,1,1,1,no,yes,yes,2,1,1,0,7,6,0
MS,F,18.0,U,2,3,1,0,no,yes,yes,2,3,4,0,11,10,10
MS,F,18.0,R,4,4,2,0,no,no,yes,2,2,5,10,14,12,11
MS,F,19.0,U,3,2,2,2,yes,yes,yes,2,2,3,4,7,7,9
MS,M,18.0,R,1,2,1,0,yes,yes,no,3,3,3,3,14,12,12
MS,F,17.0,U,2,2,3,0,yes,yes,yes,4,3,3,8,13,11,11
MS,F,17.0,R,1,2,1,0,yes,yes,yes,5,5,1,14,6,5,5
MS,F,18.0,R,4,4,3,0,no,yes,yes,4,4,1,0,19,18,19
MS,F,18.0,R,1,1,3,0,no,yes,yes,3,2,4,2,8,8,10
MS,F,20.0,U,4,2,3,2,no,no,yes,4,3,3,4,15,14,15
MS,F,18.0,R,4,4,2,0,yes,yes,yes,4,3,2,4,8,9,10
MS,F,18.0,U,3,3,2,0,no,yes,yes,1,3,1,0,15,15,15
MS,F,17.0,R,3,1,2,0,yes,no,yes,5,4,1,17,10,10,10
MS,M,18.0,U,4,4,2,0,yes,no,yes,2,4,2,4,15,14,14
MS,M,18.0,R,2,1,1,0,yes,no,yes,4,3,5,5,7,6,7
MS,M,17.0,U,2,3,2,0,yes,yes,yes,4,3,3,2,11,11,10
MS,M,19.0,R,1,1,1,1,no,yes,yes,3,2,5,0,6,5,0
MS,M,18.0,R,4,2,1,1,no,yes,yes,4,3,3,14,6,5,5
MS,F,18.0,R,2,2,3,0,no,yes,yes,3,3,4,2,10,9,10
MS,F,18.0,R,4,4,1,0,yes,yes,yes,4,3,5,7,6,5,6
MS,F,19.0,R,2,3,3,1,yes,no,yes,4,2,5,0,7,5,0
MS,F,18.0,U,3,1,2,0,no,yes,yes,3,4,1,0,7,9,8
MS,F,18.0,U,1,1,2,1,yes,yes,yes,1,1,5,0,6,5,0
MS,M,20.0,U,2,2,2,2,no,yes,yes,5,4,4,11,9,9,9
MS,M,17.0,U,3,1,1,0,no,no,yes,4,5,2,3,14,16,16
MS,M,21.0,R,1,1,1,3,no,no,yes,5,3,3,3,10,8,7
MS,M,18.0,R,3,2,1,0,no,no,yes,4,1,5,0,11,12,10
MS,M,19.0,U,1,1,1,0,no,yes,yes,2,3,5,5,8,9,9
